0,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069
62.5 -5.5,8.700500941,8.676854162,8.665049095,8.682626444,8.688154451,8.687036329,8.689237544,8.694221143,8.697509173,8.700100083,8.703257418,8.706658757,8.709824701,8.712930661,8.71611914,8.719325109,8.722499736,8.725670948,8.728853169,8.732035941,8.73521474,8.738393655,8.741573945,8.744754104,8.747933786,8.751113548,8.754293473,8.757473357,8.760653188,8.763833036,8.767012902,8.770192761,8.773372614,8.776552469,8.779732327,8.782912184,8.786092039,8.789271896,8.792451752,8.795631609,8.798811465,8.801991321,8.805171178,8.808351034,8.811530891,8.814710747,8.817890603,8.82107046,8.824250316,8.827430173
62.5 -4.5,8.726503385,8.691573833,8.675031197,8.699898845,8.704762642,8.701377512,8.704044284,8.709807154,8.712712241,8.715020927,8.718317341,8.721752723,8.724808703,8.727865133,8.731051289,8.734224728,8.737353223,8.740491442,8.743644238,8.746792093,8.749935333,8.753080829,8.756227693,8.759373618,8.762519164,8.765665082,8.768811092,8.771956961,8.775102813,8.778248717,8.781394621,8.784540506,8.787686394,8.790832288,8.793978181,8.797124071,8.800269962,8.803415854,8.806561746,8.809707637,8.812853528,8.81599942,8.819145311,8.822291203,8.825437094,8.828582986,8.831728877,8.834874768,8.83802066,8.841166551
62.5 -3.5,8.824183168,8.790728925,8.765260061,8.791213852,8.798985499,8.79509883,8.796466614,8.802578036,8.805859215,8.807959755,8.81106594,8.814550707,8.817616761,8.820599331,8.823733293,8.826885286,8.829980465,8.833075163,8.836189858,8.839302966,8.842409044,8.84551638,8.848626085,8.851735126,8.854843383,8.857951952,8.86106077,8.864169454,8.867278061,8.870386724,8.873495408,8.876604071,8.879712728,8.882821393,8.88593006,8.889038723,8.892147387,8.895256051,8.898364715,8.901473379,8.904582044,8.907690708,8.910799372,8.913908036,8.9170167,8.920125364,8.923234028,8.926342693,8.929451357,8.932560021
62.5 -2.5,8.956749189,8.938983472,8.899894458,8.918485318,8.93368981,8.932338468,8.929993528,8.9354037,8.940197589,8.942479723,8.944851164,8.948285773,8.951595598,8.954538344,8.957521894,8.960652295,8.963758285,8.966811867,8.969874863,8.972958145,8.976036908,8.979108313,8.982181537,8.98525755,8.988332766,8.991406964,8.994481484,8.997556386,9.000631151,9.003705778,9.006780459,9.009855192,9.012929902,9.016004594,9.019079295,9.022154002,9.025228706,9.028303407,9.03137811,9.034452814,9.037527517,9.04060222,9.043676923,9.046751626,9.049826329,9.052901032,9.055975735,9.059050438,9.062125141,9.065199844
62.5 -1.5,9.13536623,9.123819177,9.080080682,9.093044359,9.112893236,9.113504821,9.109345618,9.113978809,9.11993888,9.122721692,9.124769594,9.128197413,9.131863503,9.135011082,9.13804241,9.141291992,9.14458286,9.147789713,9.15097786,9.154200696,9.157430546,9.160646843,9.163860097,9.167078882,9.170298845,9.173516627,9.176733911,9.179952079,9.183170443,9.186388457,9.189606389,9.192824462,9.196042568,9.199260618,9.202478654,9.205696713,9.208914777,9.212132832,9.215350885,9.218568942,9.221787,9.225005056,9.228223112,9.231441168,9.234659224,9.237877281,9.241095337,9.244313393,9.247531449,9.250749506
62.5 -0.5,9.347274963,9.337476399,9.29400096,9.305889515,9.327118476,9.32856846,9.324014725,9.328683108,9.335368275,9.338593498,9.340723666,9.344399993,9.348485329,9.351971888,9.355256441,9.358801156,9.362425952,9.365947917,9.369432464,9.372960856,9.376504586,9.380030759,9.383550002,9.387076635,9.390606162,9.394132706,9.397657969,9.401184476,9.404711524,9.408238067,9.411764374,9.415290891,9.418817507,9.422344038,9.425870526,9.429397049,9.432923591,9.436450118,9.439976637,9.443503162,9.447029691,9.450556217,9.454082741,9.457609267,9.461135793,9.464662319,9.468188845,9.47171537,9.475241896,9.478768422
62.5 0.5,9.545917998,9.539735107,9.49596912,9.506666941,9.529267839,9.532041794,9.527085032,9.531770709,9.539290824,9.543161859,9.545440576,9.549423943,9.554040208,9.557994122,9.561621416,9.565548948,9.569612363,9.573557067,9.577435228,9.581365965,9.585325113,9.589263246,9.593187929,9.597121748,9.601061393,9.604997365,9.60893064,9.612865488,9.616801512,9.620736904,9.624671759,9.628606881,9.632542238,9.636477488,9.640412632,9.644347821,9.648283056,9.652218273,9.65615347,9.660088674,9.664023887,9.667959097,9.671894303,9.67582951,9.679764719,9.683699927,9.687635135,9.691570343,9.695505551,9.699440759
62.5 1.5,9.703081423,9.704726809,9.659439006,9.667863795,9.691783528,9.697325844,9.691790225,9.696056465,9.70451006,9.709532069,9.712003882,9.716219237,9.721470143,9.726105968,9.730168187,9.73452987,9.739133918,9.743633261,9.748006314,9.752428267,9.756904774,9.761364724,9.765797417,9.770237478,9.774689453,9.779139118,9.78358301,9.788027856,9.792475238,9.79692238,9.80136832,9.805814341,9.810260891,9.81470744,9.819153743,9.82360004,9.828046444,9.832492858,9.836939223,9.841385582,9.845831963,9.850278347,9.854724722,9.859171094,9.863617471,9.868063849,9.872510225,9.8769566,9.881402977,9.885849353
62.5 2.5,9.792625799,9.804086811,9.759044649,9.762258198,9.786734096,9.794751051,9.789927762,9.793385317,9.802001452,9.807802647,9.81076861,9.815093285,9.820598579,9.825653198,9.830097518,9.834750238,9.839662113,9.844508956,9.849227443,9.853974378,9.858776359,9.863570731,9.868338691,9.873109628,9.877891935,9.882673845,9.887450433,9.892227072,9.897006001,9.901785078,9.906563105,9.911341035,9.916119415,9.92089787,9.925676122,9.930454334,9.935232633,9.940010955,9.944789238,9.94956751,9.954345798,9.959124092,9.96390238,9.968680664,9.973458951,9.97823724,9.983015527,9.987793814,9.992572101,9.997350389
61.5 -16.5,9.783414403,9.71212539,9.755828573,9.769267195,9.756966083,9.758082237,9.762679295,9.763337672,9.763897362,9.765453057,9.766835673,9.768006797,9.76926227,9.770553348,9.771816578,9.773076508,9.774343964,9.775610751,9.776875812,9.778141379,9.779407272,9.780672976,9.781938636,9.783204352,9.784470067,9.785735769,9.787001474,9.788267181,9.789532887,9.790798593,9.792064299,9.793330005,9.794595712,9.795861418,9.797127124,9.79839283,9.799658536,9.800924242,9.802189948,9.803455654,9.80472136,9.805987067,9.807252773,9.808518479,9.809784185,9.811049891,9.812315597,9.813581303,9.814847009,9.816112715
